#Genoma,IdGenoma
HPV16,NC_001526.4 
HPV18,NC_001357.1
HPV45,X74479.1
HPV31,J04353.1
HPV33,M12732.1
HPV35H,X74477.1
HPV39,M62849.1
HPV51,M62877.1
HPV52,X74481.1
HPV56,X74483.1
HPV58,D90400.1
HPV59,X77858.1
HPV68A,DQ080079.1
HPV68B,FR751039.1
HPV73,X94165.1
HPV82,AB027021.1
HPV23,U31781.1
HPV53,NC_001593.1
HPV66,U31794.1
HPV6B,NC_001355.1
HPV11,M14119.1
HPV40,X74478.1
HPV42,M73236.1
HPV43,AJ620205.1
HPV44,U31788.1
HPV54,NC_001676.1
HPV61,NC_001694.1
HPV70,U21941.1
HPV72,KJ145795.1
HPV81,AJ620209.1
HPV34,NC_001587.1
HPV57B,U37537.1
HPV57C,AB361563.1
HPV83,AF151983.1
HPV2,MN605988.1
HPV2A,X55964.1
HPV3,X74462.1
HPV5,NC_001531.1
HPV5,NC_001457.1
HPV7,NC_001595.1
HPV9,NC_001596.1
HPV10,NC_001576.1
HPV12,X74466.1
HPV13,X62843.1
HPV14B,X74467.1
HPV15,X74468.1
HPV17,X74469.1
HPV19,X74470.1
HPV20,U31778.1
HPV21,U31779.1
HPV22,U31780.1
HPV23,U31781.1
HPV24,U31782.1
HPV25,X74471.1
HPV27B,AB211993.1
HPV28,U31783.1
HPV29,U31784.1
HPV30,NC_038889.1
HPV32,NC_001586.1
HPV36,U31785.1
HPV37,U31786.1
HPV38,U31787.1
HPV41,NC_001354.1
HPV47,M32305.1
HPV48,NC_001690.1
HPV49,NC_001591.1
HPV50,NC_001691.1
HPV60,NC_001693.1
HPV62,AY395706.1
HPV63,NC_001458.1
HPV65,X70829.1
HPV67,D21208.1
HPV69,AB027020.1
HPV74,AF436130.1
HPV75,Y15173.1
HPV76,Y15174.1
HPV77,Y15175.1
